Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,S1_0 Area,S1_075 Area,S1_150 Area,S1_225 Area,S1_3 Area,S1_375 Area,S1_450 Area,S1_525 Area,S1_6 Area,S1_620 Area,S1_0 Area (top-3 peptides),S1_075 Area (top-3 peptides),S1_150 Area (top-3 peptides),S1_225 Area (top-3 peptides),S1_3 Area (top-3 peptides),S1_375 Area (top-3 peptides),S1_450 Area (top-3 peptides),S1_525 Area (top-3 peptides),S1_6 Area (top-3 peptides),S1_620 Area (top-3 peptides),Sample Profile (Ratio),0 Area,075 Area,150 Area,225 Area,3 Area,375 Area,450 Area,525 Area,6 Area,620 Area,0 Area (top-3 peptides),075 Area (top-3 peptides),150 Area (top-3 peptides),225 Area (top-3 peptides),3 Area (top-3 peptides),375 Area (top-3 peptides),450 Area (top-3 peptides),525 Area (top-3 peptides),6 Area (top-3 peptides),620 Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
19,63,P02766|TTHY_HUMAN,64.16,80,13,13,Iodination; Sulfonic acid on Cysteine,4.7644E5,6.4028E5,4.8805E5,5.7796E5,5.9952E5,6.0924E5,6.7711E5,6.6719E5,6.2498E5,6.5817E5,2.0826E5,2.3128E5,1.752E5,2.1071E5,3.2775E5,3.5374E5,3.2204E5,3.6884E5,3.386E5,3.7182E5,1.00:1.11:0.84:1.01:1.57:1.70:1.55:1.77:1.63:1.79,4.7644E5,6.4028E5,4.8805E5,5.7796E5,5.9952E5,6.0924E5,6.7711E5,6.6719E5,6.2498E5,6.5817E5,2.0826E5,2.3128E5,1.752E5,2.1071E5,3.2775E5,3.5374E5,3.2204E5,3.6884E5,3.386E5,3.7182E5,1.00:1.11:0.84:1.01:1.57:1.70:1.55:1.77:1.63:1.79,15887,Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1
39,27,P02751|FINC_HUMAN,57.81,11,20,20,Carbamidomethylation,4.3778E4,5.6268E4,3.3197E4,4.3912E4,6.2422E4,7.5384E4,7.5015E4,7.0637E4,5.9284E4,6.9407E4,1.5391E4,2.1038E4,1.1317E4,1.6233E4,2.3377E4,2.8745E4,2.7671E4,2.7498E4,2.3153E4,2.9897E4,1.00:1.37:0.74:1.05:1.52:1.87:1.80:1.79:1.50:1.94,4.3778E4,5.6268E4,3.3197E4,4.3912E4,6.2422E4,7.5384E4,7.5015E4,7.0637E4,5.9284E4,6.9407E4,1.5391E4,2.1038E4,1.1317E4,1.6233E4,2.3377E4,2.8745E4,2.7671E4,2.7498E4,2.3153E4,2.9897E4,1.00:1.37:0.74:1.05:1.52:1.87:1.80:1.79:1.50:1.94,272318,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
47,64,P69905|HBA_HUMAN,49.80,63,9,9,Iodination; Di-Iodination,1.829E5,2.4204E5,1.8736E5,2.32E5,2.7258E5,3.0131E5,3.01E5,2.8111E5,2.5851E5,3.2744E5,1.0851E5,1.6264E5,1.1859E5,1.5143E5,1.702E5,1.8954E5,1.9674E5,1.8158E5,1.6564E5,1.9989E5,1.00:1.50:1.09:1.40:1.57:1.75:1.81:1.67:1.53:1.84,1.829E5,2.4204E5,1.8736E5,2.32E5,2.7258E5,3.0131E5,3.01E5,2.8111E5,2.5851E5,3.2744E5,1.0851E5,1.6264E5,1.1859E5,1.5143E5,1.702E5,1.8954E5,1.9674E5,1.8158E5,1.6564E5,1.9989E5,1.00:1.50:1.09:1.40:1.57:1.75:1.81:1.67:1.53:1.84,15258,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2
27,25,P08603|CFAH_HUMAN,48.08,31,27,27,Carbamidomethylation; Iodination; Di-Iodination,8.0451E4,1.1974E5,8.6377E4,9.9587E4,1.1965E5,1.7739E5,1.569E5,1.6048E5,1.4557E5,1.4781E5,1.6511E4,2.7268E4,2.032E4,2.4071E4,3.2579E4,7.3592E4,4.9248E4,5.4442E4,5.3882E4,4.8673E4,1.00:1.65:1.23:1.46:1.97:4.46:2.98:3.30:3.26:2.95,8.0451E4,1.1974E5,8.6377E4,9.9587E4,1.1965E5,1.7739E5,1.569E5,1.6048E5,1.4557E5,1.4781E5,1.6511E4,2.7268E4,2.032E4,2.4071E4,3.2579E4,7.3592E4,4.9248E4,5.4442E4,5.3882E4,4.8673E4,1.00:1.65:1.23:1.46:1.97:4.46:2.98:3.30:3.26:2.95,139096,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4
32,31,P01011|AACT_HUMAN,44.48,37,16,16,Iodination; Di-Iodination,8.3638E4,8.5998E4,4.882E4,6.5452E4,9.3185E4,1.1337E5,1.1943E5,1.2311E5,1.1342E5,1.2333E5,3.7496E4,4.2334E4,2.3763E4,3.0793E4,4.2893E4,4.8288E4,4.7348E4,5.1638E4,4.6651E4,5.1146E4,1.00:1.13:0.63:0.82:1.14:1.29:1.26:1.38:1.24:1.36,8.3638E4,8.5998E4,4.882E4,6.5452E4,9.3185E4,1.1337E5,1.1943E5,1.2311E5,1.1342E5,1.2333E5,3.7496E4,4.2334E4,2.3763E4,3.0793E4,4.2893E4,4.8288E4,4.7348E4,5.1638E4,4.6651E4,5.1146E4,1.00:1.13:0.63:0.82:1.14:1.29:1.26:1.38:1.24:1.36,47651,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2
3,2,P01024|CO3_HUMAN,42.90,58,89,88,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine; Di-Iodination,9.8299E5,1.4032E6,1.0347E6,1.1831E6,1.316E6,1.4247E6,1.4212E6,1.4179E6,1.2946E6,1.4314E6,2.1987E5,3.5941E5,2.5997E5,3.0361E5,3.1726E5,3.4415E5,3.8548E5,3.5237E5,3.3533E5,3.7921E5,1.00:1.63:1.18:1.38:1.44:1.57:1.75:1.60:1.53:1.72,9.8299E5,1.4032E6,1.0347E6,1.1831E6,1.316E6,1.4247E6,1.4212E6,1.4179E6,1.2946E6,1.4314E6,2.1987E5,3.5941E5,2.5997E5,3.0361E5,3.1726E5,3.4415E5,3.8548E5,3.5237E5,3.3533E5,3.7921E5,1.00:1.63:1.18:1.38:1.44:1.57:1.75:1.60:1.53:1.72,187147,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
29,36,P02749|APOH_HUMAN,42.54,49,15,15,Carbamidomethylation; Di-Iodination,1.1342E5,1.8772E5,1.526E5,1.7535E5,1.964E5,2.0763E5,1.9392E5,1.6796E5,1.4662E5,1.5346E5,6.6525E4,9.4495E4,6.8686E4,8.0059E4,1.1E5,1.1631E5,1.01E5,1.051E5,8.8486E4,9.798E4,1.00:1.42:1.03:1.20:1.65:1.75:1.52:1.58:1.33:1.47,1.1342E5,1.8772E5,1.526E5,1.7535E5,1.964E5,2.0763E5,1.9392E5,1.6796E5,1.4662E5,1.5346E5,6.6525E4,9.4495E4,6.8686E4,8.0059E4,1.1E5,1.1631E5,1.01E5,1.051E5,8.8486E4,9.798E4,1.00:1.42:1.03:1.20:1.65:1.75:1.52:1.58:1.33:1.47,38298,Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3
108,111,P08185|CBG_HUMAN,41.86,9,3,3,,3.676E3,4.2044E3,1.3201E3,4.3932E3,6.2322E3,6.9751E3,3.9226E3,7.2315E3,6.2515E3,3.4315E3,3.676E3,4.2044E3,1.3201E3,4.3932E3,6.2322E3,6.9751E3,3.9226E3,7.2315E3,6.2515E3,3.4315E3,1.00:1.14:0.36:1.20:1.70:1.90:1.07:1.97:1.70:0.93,3.676E3,4.2044E3,1.3201E3,4.3932E3,6.2322E3,6.9751E3,3.9226E3,7.2315E3,6.2515E3,3.4315E3,3.676E3,4.2044E3,1.3201E3,4.3932E3,6.2322E3,6.9751E3,3.9226E3,7.2315E3,6.2515E3,3.4315E3,1.00:1.14:0.36:1.20:1.70:1.90:1.07:1.97:1.70:0.93,45141,Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1
11,18,P01860|IGHG3_HUMAN,39.43,57,30,4,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine; Iodination-W; Di-Iodination,1.4824E5,2.0244E5,1.5623E5,1.8284E5,1.9395E5,2.0772E5,2.0212E5,2.2513E5,2.0652E5,2.1176E5,1.1492E5,1.633E5,1.2627E5,1.4842E5,1.6282E5,1.7815E5,1.7766E5,1.962E5,1.7885E5,1.847E5,1.00:1.42:1.10:1.29:1.42:1.55:1.55:1.71:1.56:1.61,1.4824E5,2.0244E5,1.5623E5,1.8284E5,1.9395E5,2.0772E5,2.0212E5,2.2513E5,2.0652E5,2.1176E5,1.1492E5,1.633E5,1.2627E5,1.4842E5,1.6282E5,1.7815E5,1.7766E5,1.962E5,1.7885E5,1.847E5,1.00:1.42:1.10:1.29:1.42:1.55:1.55:1.71:1.56:1.61,41287,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2
73,72,P02654|APOC1_HUMAN,39.13,49,9,9,Oxidation (M),4.2037E4,4.5849E4,3.8597E4,5.5414E4,7.3451E4,8.7013E4,8.1876E4,7.687E4,5.9438E4,5.127E4,3.5705E4,3.6657E4,3.0493E4,4.2723E4,5.664E4,6.8048E4,6.4471E4,5.7261E4,4.4845E4,3.7882E4,1.00:1.03:0.85:1.20:1.59:1.91:1.81:1.60:1.26:1.06,4.2037E4,4.5849E4,3.8597E4,5.5414E4,7.3451E4,8.7013E4,8.1876E4,7.687E4,5.9438E4,5.127E4,3.5705E4,3.6657E4,3.0493E4,4.2723E4,5.664E4,6.8048E4,6.4471E4,5.7261E4,4.4845E4,3.7882E4,1.00:1.03:0.85:1.20:1.59:1.91:1.81:1.60:1.26:1.06,9332,Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1
50,51,P02763|A1AG1_HUMAN,39.02,45,10,7,Carbamidomethylation; Iodination; Di-Iodination,2.4814E4,3.0502E4,2.6593E4,3.7549E4,4.7747E4,3.0726E4,3.7388E4,3.7902E4,4.5192E4,3.5301E4,5.1626E3,6.7317E3,5.804E3,9.9835E3,2.07E4,1.1475E4,1.6732E4,2.081E4,2.5959E4,2.0945E4,1.00:1.30:1.12:1.93:4.01:2.22:3.24:4.03:5.03:4.06,2.4814E4,3.0502E4,2.6593E4,3.7549E4,4.7747E4,3.0726E4,3.7388E4,3.7902E4,4.5192E4,3.5301E4,5.1626E3,6.7317E3,5.804E3,9.9835E3,2.07E4,1.1475E4,1.6732E4,2.081E4,2.5959E4,2.0945E4,1.00:1.30:1.12:1.93:4.01:2.22:3.24:4.03:5.03:4.06,23512,Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=1
20,8,P19823|ITIH2_HUMAN,36.00,32,23,23,Oxidation (M); Iodination; Di-Iodination,1.5585E5,1.9113E5,1.1982E5,1.3935E5,1.8537E5,2.1533E5,2.1575E5,2.2191E5,1.9797E5,2.3047E5,6.9277E4,9.4949E4,5.624E4,6.0035E4,7.5361E4,8.8533E4,9.5488E4,9.7928E4,8.6772E4,1.0538E5,1.00:1.37:0.81:0.87:1.09:1.28:1.38:1.41:1.25:1.52,1.5585E5,1.9113E5,1.1982E5,1.3935E5,1.8537E5,2.1533E5,2.1575E5,2.2191E5,1.9797E5,2.3047E5,6.9277E4,9.4949E4,5.624E4,6.0035E4,7.5361E4,8.8533E4,9.5488E4,9.7928E4,8.6772E4,1.0538E5,1.00:1.37:0.81:0.87:1.09:1.28:1.38:1.41:1.25:1.52,106463,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2
2,3,P02787|TRFE_HUMAN,35.97,81,75,74,Carbamidomethylation; Oxidation (M); Iodination; Di-Iodination; Sulfenic Acid on Cysteine,3.2057E6,4.3396E6,3.4176E6,3.8779E6,4.2472E6,3.9628E6,3.8404E6,3.6955E6,3.3356E6,3.4646E6,5.3434E5,8.874E5,6.7946E5,7.7765E5,7.0451E5,5.5517E5,6.7527E5,5.6827E5,5.6852E5,5.8559E5,1.00:1.66:1.27:1.46:1.32:1.04:1.26:1.06:1.06:1.10,3.2057E6,4.3396E6,3.4176E6,3.8779E6,4.2472E6,3.9628E6,3.8404E6,3.6955E6,3.3356E6,3.4646E6,5.3434E5,8.874E5,6.7946E5,7.7765E5,7.0451E5,5.5517E5,6.7527E5,5.6827E5,5.6852E5,5.8559E5,1.00:1.66:1.27:1.46:1.32:1.04:1.26:1.06:1.06:1.10,77064,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3
8,6,P0C0L5|CO4B_HUMAN,34.86,35,44,44,Carbamidomethylation; Iodination; Di-Iodination; Sulfenic Acid on Cysteine,2.0816E5,3.0926E5,2.3636E5,2.7071E5,3.2431E5,3.5272E5,3.3866E5,3.3673E5,3.234E5,3.324E5,4.2966E4,9.2787E4,7.406E4,8.3176E4,9.3881E4,9.8132E4,9.3821E4,1.0087E5,1.0363E5,9.8666E4,1.00:2.16:1.72:1.94:2.18:2.28:2.18:2.35:2.41:2.30,2.0816E5,3.0926E5,2.3636E5,2.7071E5,3.2431E5,3.5272E5,3.3866E5,3.3673E5,3.234E5,3.324E5,4.2966E4,9.2787E4,7.406E4,8.3176E4,9.3881E4,9.8132E4,9.3821E4,1.0087E5,1.0363E5,9.8666E4,1.00:2.16:1.72:1.94:2.18:2.28:2.18:2.35:2.41:2.30,192750,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2
8,5,P0C0L4|CO4A_HUMAN,34.86,36,45,45,Carbamidomethylation; Iodination; Di-Iodination; Sulfenic Acid on Cysteine,2.0871E5,3.1001E5,2.3698E5,2.7155E5,3.2506E5,3.5338E5,3.3954E5,3.3742E5,3.2408E5,3.3325E5,4.2966E4,9.2787E4,7.406E4,8.3176E4,9.3881E4,9.8132E4,9.3821E4,1.0087E5,1.0363E5,9.8666E4,1.00:2.16:1.72:1.94:2.18:2.28:2.18:2.35:2.41:2.30,2.0871E5,3.1001E5,2.3698E5,2.7155E5,3.2506E5,3.5338E5,3.3954E5,3.3742E5,3.2408E5,3.3325E5,4.2966E4,9.2787E4,7.406E4,8.3176E4,9.3881E4,9.8132E4,9.3821E4,1.0087E5,1.0363E5,9.8666E4,1.00:2.16:1.72:1.94:2.18:2.28:2.18:2.35:2.41:2.30,192784,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2
124,286,Q8WZ42|TITIN_HUMAN,34.72,0,3,3,Oxidation (M),6.938E3,1.5463E4,1.1785E4,1.4435E4,9.4237E3,9.6148E3,3.3979E4,1.0023E4,9.0318E3,9.4033E3,6.938E3,1.5463E4,1.1785E4,1.4435E4,9.4237E3,9.6148E3,3.3979E4,1.0023E4,9.0318E3,9.4033E3,1.00:2.23:1.70:2.08:1.36:1.39:4.90:1.44:1.30:1.36,6.938E3,1.5463E4,1.1785E4,1.4435E4,9.4237E3,9.6148E3,3.3979E4,1.0023E4,9.0318E3,9.4033E3,6.938E3,1.5463E4,1.1785E4,1.4435E4,9.4237E3,9.6148E3,3.3979E4,1.0023E4,9.0318E3,9.4033E3,1.00:2.23:1.70:2.08:1.36:1.39:4.90:1.44:1.30:1.36,3815922,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4
42,76,P01619|KV320_HUMAN,33.24,43,6,3,Iodination,7.8281E4,1.0927E5,8.7929E4,1.0034E5,1.1158E5,6.1482E4,6.0126E4,1.0746E5,9.9216E4,1.0868E5,7.122E4,9.9497E4,8.0934E4,9.1815E4,1.033E5,5.1809E4,5.1073E4,9.8551E4,9.1505E4,1.0009E5,1.00:1.40:1.14:1.29:1.45:0.73:0.72:1.38:1.28:1.41,7.8281E4,1.0927E5,8.7929E4,1.0034E5,1.1158E5,6.1482E4,6.0126E4,1.0746E5,9.9216E4,1.0868E5,7.122E4,9.9497E4,8.0934E4,9.1815E4,1.033E5,5.1809E4,5.1073E4,9.8551E4,9.1505E4,1.0009E5,1.00:1.40:1.14:1.29:1.45:0.73:0.72:1.38:1.28:1.41,12557,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2
22,22,P02774|VTDB_HUMAN,30.01,50,22,22,Carbamidomethylation; Iodination; Di-Iodination,2.6413E5,3.4255E5,2.5607E5,2.8886E5,3.1864E5,3.4913E5,3.5599E5,3.6322E5,3.52E5,3.811E5,8.0877E4,1.2699E5,9.6102E4,1.1058E5,9.4414E4,1.055E5,1.2664E5,1.148E5,1.1571E5,1.2764E5,1.00:1.57:1.19:1.37:1.17:1.30:1.57:1.42:1.43:1.58,2.6413E5,3.4255E5,2.5607E5,2.8886E5,3.1864E5,3.4913E5,3.5599E5,3.6322E5,3.52E5,3.811E5,8.0877E4,1.2699E5,9.6102E4,1.1058E5,9.4414E4,1.055E5,1.2664E5,1.148E5,1.1571E5,1.2764E5,1.00:1.57:1.19:1.37:1.17:1.30:1.57:1.42:1.43:1.58,52918,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2
