Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,s3_0 Area,s3_075 Area,s3_150 Area,s3_225 Area,s3_3 Area,s3_375 Area,s3_450 Area,s3_525 Area,s3_6 Area,s3_620 Area,s3_0 Area (top-3 peptides),s3_075 Area (top-3 peptides),s3_150 Area (top-3 peptides),s3_225 Area (top-3 peptides),s3_3 Area (top-3 peptides),s3_375 Area (top-3 peptides),s3_450 Area (top-3 peptides),s3_525 Area (top-3 peptides),s3_6 Area (top-3 peptides),s3_620 Area (top-3 peptides),Sample Profile (Ratio),0 Area,075 Area,150 Area,225 Area,3 Area,375 Area,450 Area,525 Area,6 Area,620 Area,0 Area (top-3 peptides),075 Area (top-3 peptides),150 Area (top-3 peptides),225 Area (top-3 peptides),3 Area (top-3 peptides),375 Area (top-3 peptides),450 Area (top-3 peptides),525 Area (top-3 peptides),6 Area (top-3 peptides),620 Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
22,24,P02774|VTDB_HUMAN,41.85,51,22,22,Carbamidomethylation; Iodination; Di-Iodination,3.4213E5,2.929E5,2.7777E5,2.753E5,2.8728E5,3.003E5,3.0182E5,2.9817E5,3.2381E5,3.1802E5,1.0936E5,1.1521E5,1.2034E5,8.9736E4,9.955E4,7.5201E4,1.2405E5,1.1178E5,1.2552E5,1.308E5,1.00:1.05:1.10:0.82:0.91:0.69:1.13:1.02:1.15:1.20,3.4213E5,2.929E5,2.7777E5,2.753E5,2.8728E5,3.003E5,3.0182E5,2.9817E5,3.2381E5,3.1802E5,1.0936E5,1.1521E5,1.2034E5,8.9736E4,9.955E4,7.5201E4,1.2405E5,1.1178E5,1.2552E5,1.308E5,1.00:1.05:1.10:0.82:0.91:0.69:1.13:1.02:1.15:1.20,52918,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2
39,26,P02751|FINC_HUMAN,39.96,13,23,23,Carbamidomethylation; Iodination,7.4183E4,5.4147E4,3.9485E4,6.0291E4,6.3048E4,7.5838E4,6.2388E4,6.2289E4,6.6191E4,6.8768E4,2.4155E4,1.7757E4,1.0378E4,1.9668E4,1.9346E4,2.6419E4,2.0996E4,2.2598E4,2.4473E4,2.6057E4,1.00:0.74:0.43:0.81:0.80:1.09:0.87:0.94:1.01:1.08,7.4183E4,5.4147E4,3.9485E4,6.0291E4,6.3048E4,7.5838E4,6.2388E4,6.2289E4,6.6191E4,6.8768E4,2.4155E4,1.7757E4,1.0378E4,1.9668E4,1.9346E4,2.6419E4,2.0996E4,2.2598E4,2.4473E4,2.6057E4,1.00:0.74:0.43:0.81:0.80:1.09:0.87:0.94:1.01:1.08,272318,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
10,27,P01861|IGHG4_HUMAN,36.33,80,27,8,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine; Di-Iodination,2.8603E5,2.7264E5,3.0935E5,2.6563E5,2.5921E5,2.0637E5,3.2007E5,3.0942E5,3.5333E5,3.8821E5,1.4741E5,1.2687E5,1.1455E5,9.8477E4,1.1599E5,1.0471E5,1.9018E5,1.8049E5,2.0319E5,2.2072E5,1.00:0.86:0.78:0.67:0.79:0.71:1.29:1.22:1.38:1.50,2.8603E5,2.7264E5,3.0935E5,2.6563E5,2.5921E5,2.0637E5,3.2007E5,3.0942E5,3.5333E5,3.8821E5,1.4741E5,1.2687E5,1.1455E5,9.8477E4,1.1599E5,1.0471E5,1.9018E5,1.8049E5,2.0319E5,2.2072E5,1.00:0.86:0.78:0.67:0.79:0.71:1.29:1.22:1.38:1.50,35941,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1
20,21,P02790|HEMO_HUMAN,36.11,58,23,23,Carbamidomethylation; Pyro-glu from Q; Iodination,5.1519E5,4.3002E5,4.2464E5,4.853E5,5.1935E5,5.563E5,4.9227E5,5.0724E5,5.357E5,5.3767E5,1.8983E5,1.5324E5,1.5077E5,2.1222E5,2.2551E5,2.5067E5,1.9515E5,2.1615E5,2.1665E5,2.1793E5,1.00:0.81:0.79:1.12:1.19:1.32:1.03:1.14:1.14:1.15,5.1519E5,4.3002E5,4.2464E5,4.853E5,5.1935E5,5.563E5,4.9227E5,5.0724E5,5.357E5,5.3767E5,1.8983E5,1.5324E5,1.5077E5,2.1222E5,2.2551E5,2.5067E5,1.9515E5,2.1615E5,2.1665E5,2.1793E5,1.00:0.81:0.79:1.12:1.19:1.32:1.03:1.14:1.14:1.15,51676,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2
52,49,P04004|VTNC_HUMAN,33.76,17,8,8,Carbamidomethylation; Oxidation (M); Iodination; Di-Iodination,5.2697E4,3.7607E4,3.9667E4,4.78E4,5.4402E4,5.1232E4,5.864E4,5.4342E4,5.8067E4,5.7543E4,3.2251E4,2.1859E4,2.0524E4,2.9698E4,2.9203E4,2.8735E4,2.1554E4,2.2439E4,2.1935E4,1.978E4,1.00:0.68:0.64:0.92:0.91:0.89:0.67:0.70:0.68:0.61,5.2697E4,3.7607E4,3.9667E4,4.78E4,5.4402E4,5.1232E4,5.864E4,5.4342E4,5.8067E4,5.7543E4,3.2251E4,2.1859E4,2.0524E4,2.9698E4,2.9203E4,2.8735E4,2.1554E4,2.2439E4,2.1935E4,1.978E4,1.00:0.68:0.64:0.92:0.91:0.89:0.67:0.70:0.68:0.61,54306,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1
36,25,P06396|GELS_HUMAN,33.03,39,21,21,Carbamidomethylation; Iodination; Di-Iodination,1.1936E5,9.9232E4,9.3305E4,1.0233E5,1.2379E5,1.3324E5,1.3959E5,1.3782E5,1.5431E5,1.557E5,2.5581E4,2.7118E4,2.9303E4,3.319E4,4.0378E4,3.947E4,4.3577E4,4.2191E4,4.8203E4,4.9919E4,1.00:1.06:1.15:1.30:1.58:1.54:1.70:1.65:1.88:1.95,1.1936E5,9.9232E4,9.3305E4,1.0233E5,1.2379E5,1.3324E5,1.3959E5,1.3782E5,1.5431E5,1.557E5,2.5581E4,2.7118E4,2.9303E4,3.319E4,4.0378E4,3.947E4,4.3577E4,4.2191E4,4.8203E4,4.9919E4,1.00:1.06:1.15:1.30:1.58:1.54:1.70:1.65:1.88:1.95,85697,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1
19,12,P06727|APOA4_HUMAN,29.46,70,26,26,Iodination; Di-Iodination,1.5499E5,1.1798E5,1.2437E5,1.6554E5,1.9874E5,2.1042E5,2.0664E5,2.1601E5,2.3544E5,2.386E5,4.0649E4,2.9975E4,3.8082E4,4.9075E4,6.5512E4,6.772E4,6.5507E4,6.4609E4,7.4631E4,7.3332E4,1.00:0.74:0.94:1.21:1.61:1.67:1.61:1.59:1.84:1.80,1.5499E5,1.1798E5,1.2437E5,1.6554E5,1.9874E5,2.1042E5,2.0664E5,2.1601E5,2.3544E5,2.386E5,4.0649E4,2.9975E4,3.8082E4,4.9075E4,6.5512E4,6.772E4,6.5507E4,6.4609E4,7.4631E4,7.3332E4,1.00:0.74:0.94:1.21:1.61:1.67:1.61:1.59:1.84:1.80,45372,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4
17,15,P00738|HPT_HUMAN,28.17,67,34,14,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Iodination; Di-Iodination,5.1378E5,4.6301E5,6.1002E5,3.5054E5,4.1144E5,3.8532E5,5.1357E5,4.3036E5,4.9881E5,5.2064E5,1.9924E5,1.8481E5,2.2551E5,1.421E5,2.0793E5,1.9567E5,2.6485E5,2.3146E5,2.7037E5,2.8682E5,1.00:0.93:1.13:0.71:1.04:0.98:1.33:1.16:1.36:1.44,5.1378E5,4.6301E5,6.1002E5,3.5054E5,4.1144E5,3.8532E5,5.1357E5,4.3036E5,4.9881E5,5.2064E5,1.9924E5,1.8481E5,2.2551E5,1.421E5,2.0793E5,1.9567E5,2.6485E5,2.3146E5,2.7037E5,2.8682E5,1.00:0.93:1.13:0.71:1.04:0.98:1.33:1.16:1.36:1.44,45205,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1
47,40,P05155|IC1_HUMAN,27.62,22,11,11,Carbamidomethylation; Iodination,8.8599E4,1.2091E5,1.0961E5,1.1953E5,1.2296E5,1.2829E5,1.1742E5,1.1493E5,1.3228E5,1.3195E5,4.6317E4,8.5416E4,7.7708E4,8.9804E4,9.0424E4,9.3735E4,8.275E4,8.034E4,9.3178E4,9.1415E4,1.00:1.84:1.68:1.94:1.95:2.02:1.79:1.73:2.01:1.97,8.8599E4,1.2091E5,1.0961E5,1.1953E5,1.2296E5,1.2829E5,1.1742E5,1.1493E5,1.3228E5,1.3195E5,4.6317E4,8.5416E4,7.7708E4,8.9804E4,9.0424E4,9.3735E4,8.275E4,8.034E4,9.3178E4,9.1415E4,1.00:1.84:1.68:1.94:1.95:2.02:1.79:1.73:2.01:1.97,55154,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2
73,96,P02656|APOC3_HUMAN,27.59,52,4,4,Di-Iodination,4.7229E4,3.6881E4,3.4752E4,3.9384E4,4.6781E4,4.7021E4,5.4644E4,5.2644E4,6.1137E4,5.7873E4,4.0257E4,3.2596E4,3.2057E4,3.6706E4,4.329E4,4.3956E4,5.1477E4,5.0227E4,5.7545E4,5.4767E4,1.00:0.81:0.80:0.91:1.08:1.09:1.28:1.25:1.43:1.36,4.7229E4,3.6881E4,3.4752E4,3.9384E4,4.6781E4,4.7021E4,5.4644E4,5.2644E4,6.1137E4,5.7873E4,4.0257E4,3.2596E4,3.2057E4,3.6706E4,4.329E4,4.3956E4,5.1477E4,5.0227E4,5.7545E4,5.4767E4,1.00:0.81:0.80:0.91:1.08:1.09:1.28:1.25:1.43:1.36,10852,Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1
37,72,P01619|KV320_HUMAN,27.56,43,6,3,Iodination,5.5758E4,9.4474E4,9.2184E4,9.6582E4,1.0095E5,9.5294E4,9.5032E4,9.1639E4,9.5681E4,1.0047E5,4.473E4,8.4881E4,8.4815E4,8.7185E4,9.1589E4,8.5268E4,8.8415E4,8.4499E4,8.7772E4,9.2076E4,1.00:1.90:1.90:1.95:2.05:1.91:1.98:1.89:1.96:2.06,5.5758E4,9.4474E4,9.2184E4,9.6582E4,1.0095E5,9.5294E4,9.5032E4,9.1639E4,9.5681E4,1.0047E5,4.473E4,8.4881E4,8.4815E4,8.7185E4,9.1589E4,8.5268E4,8.8415E4,8.4499E4,8.7772E4,9.2076E4,1.00:1.90:1.90:1.95:2.05:1.91:1.98:1.89:1.96:2.06,12557,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2
70,89,A0A0J9YX35|HV64D_HUMAN,26.41,41,5,2,Carbamidomethylation,1.009E4,8.1083E3,6.332E3,8.5074E3,7.4689E3,4.9903E3,2.8595E3,2.3E3,1.9174E3,5.2859E2,1.009E4,8.1083E3,6.332E3,8.5074E3,7.4689E3,4.9903E3,2.8595E3,2.3E3,1.9174E3,5.2859E2,1.00:0.80:0.63:0.84:0.74:0.49:0.28:0.23:0.19:0.05,1.009E4,8.1083E3,6.332E3,8.5074E3,7.4689E3,4.9903E3,2.8595E3,2.3E3,1.9174E3,5.2859E2,1.009E4,8.1083E3,6.332E3,8.5074E3,7.4689E3,4.9903E3,2.8595E3,2.3E3,1.9174E3,5.2859E2,1.00:0.80:0.63:0.84:0.74:0.49:0.28:0.23:0.19:0.05,12823,Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=3 SV=1
16,10,P01871|IGHM_HUMAN,25.70,55,24,6,Carbamidomethylation; Pyro-glu from Q; Iodination; Di-Iodination,1.8631E5,1.7079E5,2.1394E5,1.9648E5,2.1354E5,1.5431E5,1.7011E5,1.6047E5,1.8721E5,1.8494E5,1.1172E5,1.0745E5,1.3132E5,1.339E5,1.5407E5,1.0085E5,1.3112E5,1.1726E5,1.4132E5,1.4295E5,1.00:0.96:1.18:1.20:1.38:0.90:1.17:1.05:1.26:1.28,1.8631E5,1.7079E5,2.1394E5,1.9648E5,2.1354E5,1.5431E5,1.7011E5,1.6047E5,1.8721E5,1.8494E5,1.1172E5,1.0745E5,1.3132E5,1.339E5,1.5407E5,1.0085E5,1.3112E5,1.1726E5,1.4132E5,1.4295E5,1.00:0.96:1.18:1.20:1.38:0.90:1.17:1.05:1.26:1.28,49440,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4
48,35,P04003|C4BPA_HUMAN,25.33,22,12,12,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine,9.8536E4,5.553E4,6.1864E4,8.8537E4,9.3351E4,5.9368E4,7.8139E4,8.8775E4,9.3653E4,9.7296E4,6.6251E4,2.3146E4,2.1709E4,4.6884E4,5.16E4,1.4512E4,3.8258E4,4.8327E4,5.0539E4,5.1633E4,1.00:0.35:0.33:0.71:0.78:0.22:0.58:0.73:0.76:0.78,9.8536E4,5.553E4,6.1864E4,8.8537E4,9.3351E4,5.9368E4,7.8139E4,8.8775E4,9.3653E4,9.7296E4,6.6251E4,2.3146E4,2.1709E4,4.6884E4,5.16E4,1.4512E4,3.8258E4,4.8327E4,5.0539E4,5.1633E4,1.00:0.35:0.33:0.71:0.78:0.22:0.58:0.73:0.76:0.78,67033,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2
63,69,Q96PD5|PGRP2_HUMAN,24.40,14,6,6,Carbamidomethylation; Di-Iodination,1.0089E4,9.6044E3,9.2551E3,1.3342E4,9.2815E3,1.2059E4,1.4997E4,1.9554E4,2.0541E4,1.7935E4,3.2119E3,6.1832E3,6.7971E3,7.4456E3,4.2146E3,4.7021E3,9.3313E3,1.2156E4,1.2888E4,1.0186E4,1.00:1.93:2.12:2.32:1.31:1.46:2.91:3.78:4.01:3.17,1.0089E4,9.6044E3,9.2551E3,1.3342E4,9.2815E3,1.2059E4,1.4997E4,1.9554E4,2.0541E4,1.7935E4,3.2119E3,6.1832E3,6.7971E3,7.4456E3,4.2146E3,4.7021E3,9.3313E3,1.2156E4,1.2888E4,1.0186E4,1.00:1.93:2.12:2.32:1.31:1.46:2.91:3.78:4.01:3.17,62217,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1
119,229,A6NKL6|T200C_HUMAN,23.90,2,1,1,,1.8934E3,8.1517E3,1.1727E4,2.3228E4,2.0115E4,7.8197E2,2.1304E4,2.0501E4,1.2909E4,7.0033E3,1.8934E3,8.1517E3,1.1727E4,2.3228E4,2.0115E4,7.8197E2,2.1304E4,2.0501E4,1.2909E4,7.0033E3,1.00:4.31:6.19:12.27:10.62:0.41:11.25:10.83:6.82:3.70,1.8934E3,8.1517E3,1.1727E4,2.3228E4,2.0115E4,7.8197E2,2.1304E4,2.0501E4,1.2909E4,7.0033E3,1.8934E3,8.1517E3,1.1727E4,2.3228E4,2.0115E4,7.8197E2,2.1304E4,2.0501E4,1.2909E4,7.0033E3,1.00:4.31:6.19:12.27:10.62:0.41:11.25:10.83:6.82:3.70,63928,Transmembrane protein 200C OS=Homo sapiens OX=9606 GN=TMEM200C PE=2 SV=2
147,279,Q9Y625|GPC6_HUMAN,23.53,1,1,1,,0,4.6783E3,0,6.1686E3,5.8211E3,0,5.1602E3,5.9638E3,4.6571E3,5.8519E3,0,4.6783E3,0,6.1686E3,5.8211E3,0,5.1602E3,5.9638E3,4.6571E3,5.8519E3,-:64.00:-:64.00:64.00:-:64.00:64.00:64.00:64.00,0,4.6783E3,0,6.1686E3,5.8211E3,0,5.1602E3,5.9638E3,4.6571E3,5.8519E3,0,4.6783E3,0,6.1686E3,5.8211E3,0,5.1602E3,5.9638E3,4.6571E3,5.8519E3,-:64.00:-:64.00:64.00:-:64.00:64.00:64.00:64.00,62736,Glypican-6 OS=Homo sapiens OX=9606 GN=GPC6 PE=1 SV=1
160,360,Q9UEY8|ADDG_HUMAN,22.47,2,1,1,,5.953E1,0,2.6863E3,0,6.2179E3,2.996E5,2.3917E3,0,4.3619E3,0,5.953E1,0,2.6863E3,0,6.2179E3,2.996E5,2.3917E3,0,4.3619E3,0,1.00:0:45.12:0:64.00:64.00:40.18:0:64.00:0,5.953E1,0,2.6863E3,0,6.2179E3,2.996E5,2.3917E3,0,4.3619E3,0,5.953E1,0,2.6863E3,0,6.2179E3,2.996E5,2.3917E3,0,4.3619E3,0,1.00:0:45.12:0:64.00:64.00:40.18:0:64.00:0,79155,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1
